FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
6416,Gate Lodge,Caring Premises,Croydon,51.33371,-0.13712,5,10,pass,0.117
6426,Coulsdon Victoria Social Club,Pub/bar/nightclub,Croydon,51.32108,-0.13701,4,4,pass,0.306
6449,Blossoms Day Nursery,Caring Premises,Croydon,51.37285,-0.10957,5,2,pass,0.205
6452,Hilton London Croydon,Hotel/bed & breakfast/guest house,Croydon,51.35779,-0.11562,5,2,pass,0.266
6470,Jordan Lodge,Caring Premises,Croydon,51.36335,-0.0992,5,2,pass,0.205
6471,Scott House,Caring Premises,Croydon,51.36335,-0.0992,5,2,pass,0.205
6481,Warren Court,Caring Premises,Croydon,51.339,-0.10739,4,10,pass,0.117
6501,Greggs,Retailers - other,Croydon,51.3749,-0.09671,5,4,fail,0.485
6502,Leonardo Hotel London Croydon,Hotel/bed & breakfast/guest house,Croydon,51.37605,-0.09771,5,4,pass,0.235
6513,Chartwells At Harris Primary Academy Benson,School/college/university,Croydon,51.37209,-0.04412,5,8,pass,0.089
6521,Caffe Nero,Restaurant/Cafe/Canteen,Croydon,51.41965,-0.08145,4,4,fail,0.405
6522,Chi Oriental Restaurant,Restaurant/Cafe/Canteen,Croydon,51.41965,-0.08145,1,4,fail,0.405
6523,Palace Spice,Restaurant/Cafe/Canteen,Croydon,51.41965,-0.08145,4,4,fail,0.405
6524,Royal Albert,Pub/bar/nightclub,Croydon,51.41965,-0.08145,5,4,pass,0.306
6528,Morleys Fried Chicken,Takeaway/sandwich shop,Croydon,51.41965,-0.08145,4,4,fail,0.482
6547,The Salvation Army,Other catering premises,Croydon,51.41743,-0.08208,5,4,pass,0.287
6552,Candy Shop,Retailers - other,Croydon,51.39823,-0.09157,5,2,fail,0.527
6555,Sainsbury's,Retailers - supermarkets/hypermarkets,Croydon,51.39911,-0.0864,5,4,pass,0.195
6558,Thines Mini Market,Retailers - other,Croydon,51.40126,-0.08469,3,5,fail,0.464
6563,Whitworth Lodge,Caring Premises,Croydon,51.40073,-0.08211,5,3,pass,0.191
6564,The Crown Inn,Pub/bar/nightclub,Croydon,51.37364,-0.05403,5,8,pass,0.241
6566,Sparkles Pre-School,Caring Premises,Croydon,51.37491,-0.05232,5,7,pass,0.145
6570,Abra Kebabra,Restaurant/Cafe/Canteen,Croydon,51.3743,-0.05055,4,8,fail,0.328
6577,Co-op,Retailers - supermarkets/hypermarkets,Croydon,51.37546,-0.04695,5,7,pass,0.159
6581,McDonalds,Restaurant/Cafe/Canteen,Croydon,51.37671,-0.03512,5,8,fail,0.328
6582,Tesco Express (3386),Retailers - supermarkets/hypermarkets,Croydon,51.37665,-0.03442,5,8,pass,0.148
6584,Sams Supermarket,Retailers - other,Croydon,51.37706,-0.02786,4,8,fail,0.403
6601,Jaya Mini Market,Retailers - other,Croydon,51.38476,-0.10306,5,2,fail,0.527
6643,Delight Kebab,Takeaway/sandwich shop,Croydon,51.38718,-0.07056,5,4,fail,0.482
